menu_item_name,ingredient_name,quantity_needed,unit
Cannoli,Dark Chocolate,0.02,kg
Affogato,Vanilla Gelato,0.12,liters
Affogato,Espresso Beans,0.02,kg
Chocolate Lava Cake,Dark Chocolate,0.08,kg
Chocolate Lava Cake,Eggs,0.17,dozen
Chocolate Lava Cake,Heavy Cream,0.05,liters
Chocolate Lava Cake,Vanilla Gelato,0.08,liters
Espresso,Espresso Beans,0.02,kg
Cappuccino,Espresso Beans,0.02,kg
Cappuccino,Whole Milk,0.15,liters
Aperol Spritz,Aperol,0.06,bottles
Aperol Spritz,Prosecco,0.1,bottles
House Red Wine,Montepulciano Wine,0.17,bottles
Limoncello,Limoncello,0.05,bottles
