menu_item_name,quantity,total_price,sale_date,order_id,day_of_week,hour_of_day
Bruschetta Trio,2,25.0,2026-02-05 18:26:00,ORD-00033,Thursday,18
Spaghetti Carbonara,2,38.0,2026-02-05 18:47:00,ORD-00033,Thursday,18
House Red Wine,1,12.0,2026-02-05 18:59:00,ORD-00033,Thursday,18
Caesar Salad,1,13.0,2026-02-05 18:26:00,ORD-00034,Thursday,18
Chicken Parmigiana,1,24.0,2026-02-05 18:47:00,ORD-00034,Thursday,18
Espresso,2,8.0,2026-02-05 18:50:00,ORD-00034,Thursday,18
Pizza Bianca,2,34.0,2026-02-05 18:14:00,ORD-00035,Thursday,18
Caesar Salad,1,13.0,2026-02-05 18:58:00,ORD-00035,Thursday,18
Veal Piccata,1,29.0,2026-02-05 18:19:00,ORD-00035,Thursday,18
Cannoli,1,9.0,2026-02-05 18:55:00,ORD-00035,Thursday,18
Bruschetta Trio,2,25.0,2026-02-05 18:49:00,ORD-00036,Thursday,18
Spaghetti Carbonara,1,19.0,2026-02-05 18:41:00,ORD-00036,Thursday,18
House Red Wine,1,12.0,2026-02-05 18:43:00,ORD-00036,Thursday,18
Tiramisu,2,24.0,2026-02-05 18:34:00,ORD-00036,Thursday,18
Bruschetta Trio,1,12.5,2026-02-05 18:37:00,ORD-00037,Thursday,18
Spaghetti Carbonara,2,38.0,2026-02-05 18:16:00,ORD-00037,Thursday,18
House Red Wine,1,12.0,2026-02-05 18:38:00,ORD-00037,Thursday,18
Espresso,1,4.0,2026-02-05 18:16:00,ORD-00038,Thursday,18
Burrata Caprese,1,16.0,2026-02-05 18:27:00,ORD-00038,Thursday,18
Penne Arrabbiata,1,16.0,2026-02-05 18:59:00,ORD-00038,Thursday,18
Cacio e Pepe,2,34.0,2026-02-05 18:58:00,ORD-00039,Thursday,18
Tiramisu,1,12.0,2026-02-05 18:20:00,ORD-00039,Thursday,18
Chocolate Lava Cake,1,13.0,2026-02-05 18:07:00,ORD-00039,Thursday,18
Penne Arrabbiata,1,16.0,2026-02-05 18:08:00,ORD-00040,Thursday,18
Aperol Spritz,1,14.0,2026-02-05 18:42:00,ORD-00040,Thursday,18
Eggplant Parmigiana,1,18.0,2026-02-05 18:37:00,ORD-00041,Thursday,18
Penne Arrabbiata,1,16.0,2026-02-05 18:20:00,ORD-00041,Thursday,18
Burrata Caprese,1,16.0,2026-02-05 18:28:00,ORD-00041,Thursday,18
Tiramisu,1,12.0,2026-02-05 18:32:00,ORD-00041,Thursday,18
Spaghetti Carbonara,1,19.0,2026-02-05 18:52:00,ORD-00042,Thursday,18
Espresso,2,8.0,2026-02-05 18:15:00,ORD-00042,Thursday,18
Fettuccine Alfredo,1,18.0,2026-02-05 18:14:00,ORD-00042,Thursday,18
Quattro Formaggi,1,19.0,2026-02-05 18:09:00,ORD-00042,Thursday,18
Margherita Pizza,1,16.0,2026-02-05 18:04:00,ORD-00043,Thursday,18
Aperol Spritz,1,14.0,2026-02-05 18:56:00,ORD-00043,Thursday,18
Aperol Spritz,2,28.0,2026-02-05 19:55:00,ORD-00044,Thursday,19
Fettuccine Alfredo,1,18.0,2026-02-05 19:06:00,ORD-00044,Thursday,19
Diavola Pizza,1,18.0,2026-02-05 19:14:00,ORD-00044,Thursday,19
Margherita Pizza,1,16.0,2026-02-05 19:29:00,ORD-00045,Thursday,19
Caesar Salad,1,13.0,2026-02-05 19:29:00,ORD-00045,Thursday,19
Chocolate Lava Cake,1,13.0,2026-02-05 19:35:00,ORD-00045,Thursday,19
Cacio e Pepe,1,17.0,2026-02-05 19:57:00,ORD-00046,Thursday,19
Eggplant Parmigiana,1,18.0,2026-02-05 19:55:00,ORD-00046,Thursday,19
Espresso,1,4.0,2026-02-05 19:16:00,ORD-00046,Thursday,19
Burrata Caprese,1,16.0,2026-02-05 19:53:00,ORD-00046,Thursday,19
Espresso,1,4.0,2026-02-05 19:20:00,ORD-00047,Thursday,19
Burrata Caprese,2,32.0,2026-02-05 19:05:00,ORD-00047,Thursday,19
Caesar Salad,1,13.0,2026-02-05 19:14:00,ORD-00047,Thursday,19
Tiramisu,1,12.0,2026-02-05 19:09:00,ORD-00047,Thursday,19
Aperol Spritz,1,14.0,2026-02-05 19:13:00,ORD-00048,Thursday,19
Chocolate Lava Cake,1,13.0,2026-02-05 19:30:00,ORD-00049,Thursday,19
Panna Cotta,1,10.0,2026-02-05 19:22:00,ORD-00049,Thursday,19
Aperol Spritz,1,14.0,2026-02-05 19:24:00,ORD-00049,Thursday,19
Cappuccino,1,5.5,2026-02-05 19:14:00,ORD-00050,Thursday,19
Burrata Caprese,1,16.0,2026-02-05 19:31:00,ORD-00050,Thursday,19
Aperol Spritz,1,14.0,2026-02-05 19:21:00,ORD-00050,Thursday,19
Affogato,1,8.0,2026-02-05 19:51:00,ORD-00050,Thursday,19
House Red Wine,1,12.0,2026-02-05 19:25:00,ORD-00051,Thursday,19
Chicken Parmigiana,1,24.0,2026-02-05 19:42:00,ORD-00051,Thursday,19
Fettuccine Alfredo,1,18.0,2026-02-05 19:24:00,ORD-00052,Thursday,19
Caesar Salad,1,13.0,2026-02-05 19:29:00,ORD-00052,Thursday,19
Cappuccino,1,5.5,2026-02-05 19:48:00,ORD-00052,Thursday,19
Panna Cotta,2,20.0,2026-02-05 19:17:00,ORD-00052,Thursday,19
Spaghetti Carbonara,1,19.0,2026-02-05 19:41:00,ORD-00053,Thursday,19
Bruschetta Trio,1,12.5,2026-02-05 19:41:00,ORD-00053,Thursday,19
Margherita Pizza,1,16.0,2026-02-05 19:01:00,ORD-00053,Thursday,19
Fettuccine Alfredo,1,18.0,2026-02-05 19:44:00,ORD-00054,Thursday,19
Margherita Pizza,1,16.0,2026-02-05 19:23:00,ORD-00054,Thursday,19
Espresso,1,4.0,2026-02-05 19:38:00,ORD-00054,Thursday,19
Penne Arrabbiata,2,32.0,2026-02-05 19:36:00,ORD-00055,Thursday,19
Fettuccine Alfredo,1,18.0,2026-02-05 19:24:00,ORD-00055,Thursday,19
Panna Cotta,1,10.0,2026-02-05 19:45:00,ORD-00055,Thursday,19
Fettuccine Alfredo,1,18.0,2026-02-05 19:44:00,ORD-00056,Thursday,19
Caesar Salad,1,13.0,2026-02-05 19:54:00,ORD-00056,Thursday,19
Cappuccino,1,5.5,2026-02-05 19:51:00,ORD-00056,Thursday,19
Cappuccino,1,5.5,2026-02-05 20:41:00,ORD-00057,Thursday,20
Cannoli,1,9.0,2026-02-05 20:54:00,ORD-00057,Thursday,20
Margherita Pizza,1,16.0,2026-02-05 20:31:00,ORD-00057,Thursday,20
Margherita Pizza,1,16.0,2026-02-05 20:27:00,ORD-00058,Thursday,20
Caesar Salad,1,13.0,2026-02-05 20:33:00,ORD-00058,Thursday,20
Cappuccino,1,5.5,2026-02-05 20:46:00,ORD-00059,Thursday,20
Pizza Bianca,1,17.0,2026-02-05 20:20:00,ORD-00059,Thursday,20
Spaghetti Carbonara,1,19.0,2026-02-05 20:01:00,ORD-00060,Thursday,20
Osso Buco,1,34.0,2026-02-05 20:20:00,ORD-00060,Thursday,20
Bruschetta Trio,1,12.5,2026-02-05 20:13:00,ORD-00060,Thursday,20
Calamari Fritti,1,14.0,2026-02-05 20:12:00,ORD-00061,Thursday,20
Caesar Salad,1,13.0,2026-02-05 20:46:00,ORD-00061,Thursday,20
Cacio e Pepe,1,17.0,2026-02-05 20:18:00,ORD-00062,Thursday,20
Bruschetta Trio,1,12.5,2026-02-05 20:44:00,ORD-00062,Thursday,20
House Red Wine,1,12.0,2026-02-05 20:42:00,ORD-00062,Thursday,20
Cappuccino,1,5.5,2026-02-05 20:44:00,ORD-00063,Thursday,20
Aperol Spritz,1,14.0,2026-02-05 20:19:00,ORD-00063,Thursday,20
Caesar Salad,1,13.0,2026-02-05 20:48:00,ORD-00064,Thursday,20
Chicken Parmigiana,1,24.0,2026-02-05 20:12:00,ORD-00064,Thursday,20
Espresso,1,4.0,2026-02-05 20:30:00,ORD-00064,Thursday,20
Chocolate Lava Cake,1,13.0,2026-02-05 20:37:00,ORD-00064,Thursday,20
Penne Arrabbiata,1,16.0,2026-02-05 21:18:00,ORD-00065,Thursday,21
Lobster Ravioli,1,28.0,2026-02-05 21:08:00,ORD-00065,Thursday,21
Diavola Pizza,1,18.0,2026-02-05 21:48:00,ORD-00065,Thursday,21
Chocolate Lava Cake,1,13.0,2026-02-05 21:55:00,ORD-00065,Thursday,21
Margherita Pizza,1,16.0,2026-02-05 21:03:00,ORD-00066,Thursday,21
Aperol Spritz,1,14.0,2026-02-05 21:55:00,ORD-00066,Thursday,21
Spaghetti Carbonara,1,19.0,2026-02-05 21:19:00,ORD-00067,Thursday,21
Prosciutto e Rucola,1,20.0,2026-02-05 21:15:00,ORD-00067,Thursday,21
Aperol Spritz,1,14.0,2026-02-05 21:48:00,ORD-00067,Thursday,21
Chocolate Lava Cake,1,13.0,2026-02-05 21:38:00,ORD-00067,Thursday,21
Espresso,2,8.0,2026-02-05 21:27:00,ORD-00068,Thursday,21
House Red Wine,1,12.0,2026-02-05 21:39:00,ORD-00068,Thursday,21
Margherita Pizza,1,16.0,2026-02-05 21:05:00,ORD-00069,Thursday,21
Caesar Salad,1,13.0,2026-02-05 21:11:00,ORD-00069,Thursday,21
Espresso,1,4.0,2026-02-05 21:10:00,ORD-00069,Thursday,21
Burrata Caprese,1,16.0,2026-02-05 21:14:00,ORD-00070,Thursday,21
Rigatoni Bolognese,1,20.0,2026-02-05 21:18:00,ORD-00070,Thursday,21
Tiramisu,1,12.0,2026-02-05 21:29:00,ORD-00070,Thursday,21
Margherita Pizza,1,16.0,2026-02-05 21:37:00,ORD-00071,Thursday,21
Aperol Spritz,1,14.0,2026-02-05 21:59:00,ORD-00071,Thursday,21
Bruschetta Trio,1,12.5,2026-02-05 21:09:00,ORD-00072,Thursday,21
Spaghetti Carbonara,1,19.0,2026-02-05 21:10:00,ORD-00072,Thursday,21
House Red Wine,1,12.0,2026-02-05 21:38:00,ORD-00072,Thursday,21
Chocolate Lava Cake,1,13.0,2026-02-05 21:36:00,ORD-00072,Thursday,21
Penne Arrabbiata,1,16.0,2026-02-05 21:34:00,ORD-00073,Thursday,21
House Red Wine,1,12.0,2026-02-05 21:05:00,ORD-00073,Thursday,21
Cacio e Pepe,1,17.0,2026-02-05 21:01:00,ORD-00074,Thursday,21
Burrata Caprese,2,32.0,2026-02-05 21:43:00,ORD-00074,Thursday,21
Bruschetta Trio,1,12.5,2026-02-05 21:36:00,ORD-00074,Thursday,21
Margherita Pizza,1,16.0,2026-02-05 21:48:00,ORD-00074,Thursday,21
Calamari Fritti,1,14.0,2026-02-05 22:05:00,ORD-00075,Thursday,22
Tiramisu,1,12.0,2026-02-05 22:26:00,ORD-00075,Thursday,22
Insalata Mista,1,11.0,2026-02-05 22:42:00,ORD-00075,Thursday,22
Caesar Salad,1,13.0,2026-02-05 22:42:00,ORD-00076,Thursday,22
Chicken Parmigiana,2,48.0,2026-02-05 22:52:00,ORD-00076,Thursday,22
Espresso,1,4.0,2026-02-05 22:02:00,ORD-00076,Thursday,22
Penne Arrabbiata,1,16.0,2026-02-05 22:00:00,ORD-00077,Thursday,22
Limoncello,1,9.0,2026-02-05 22:34:00,ORD-00077,Thursday,22
Affogato,1,8.0,2026-02-06 11:13:00,ORD-00078,Friday,11
Diavola Pizza,1,18.0,2026-02-06 11:08:00,ORD-00078,Friday,11
Arancini,1,11.0,2026-02-06 11:10:00,ORD-00079,Friday,11
Chicken Parmigiana,1,24.0,2026-02-06 11:00:00,ORD-00079,Friday,11
Carpaccio di Manzo,1,17.0,2026-02-06 11:53:00,ORD-00080,Friday,11
Margherita Pizza,1,16.0,2026-02-06 11:30:00,ORD-00081,Friday,11
Caesar Salad,1,13.0,2026-02-06 11:35:00,ORD-00081,Friday,11
Espresso,1,4.0,2026-02-06 11:12:00,ORD-00081,Friday,11
Osso Buco,2,68.0,2026-02-06 11:32:00,ORD-00082,Friday,11
Veal Piccata,1,29.0,2026-02-06 11:00:00,ORD-00082,Friday,11
Espresso,1,4.0,2026-02-06 11:19:00,ORD-00082,Friday,11
House Red Wine,1,12.0,2026-02-06 11:21:00,ORD-00083,Friday,11
Veal Piccata,1,29.0,2026-02-06 11:34:00,ORD-00083,Friday,11
Cannoli,1,9.0,2026-02-06 11:59:00,ORD-00083,Friday,11
Caesar Salad,1,13.0,2026-02-06 11:14:00,ORD-00084,Friday,11
Chicken Parmigiana,2,48.0,2026-02-06 11:26:00,ORD-00084,Friday,11
Espresso,1,4.0,2026-02-06 11:47:00,ORD-00084,Friday,11
Prosciutto e Rucola,1,20.0,2026-02-06 11:06:00,ORD-00085,Friday,11
Carpaccio di Manzo,2,34.0,2026-02-06 11:28:00,ORD-00085,Friday,11
Quattro Formaggi,1,19.0,2026-02-06 11:58:00,ORD-00085,Friday,11
Diavola Pizza,1,18.0,2026-02-06 11:46:00,ORD-00085,Friday,11
Aperol Spritz,1,14.0,2026-02-06 11:55:00,ORD-00085,Friday,11
Cannoli,1,9.0,2026-02-06 11:09:00,ORD-00085,Friday,11
Rigatoni Bolognese,1,20.0,2026-02-06 12:20:00,ORD-00086,Friday,12
Arancini,1,11.0,2026-02-06 12:56:00,ORD-00086,Friday,12
Prosciutto e Rucola,1,20.0,2026-02-06 12:55:00,ORD-00086,Friday,12
Linguine alle Vongole,1,22.0,2026-02-06 12:39:00,ORD-00086,Friday,12
Fettuccine Alfredo,2,36.0,2026-02-06 12:47:00,ORD-00087,Friday,12
Caesar Salad,1,13.0,2026-02-06 12:06:00,ORD-00087,Friday,12
Cappuccino,1,5.5,2026-02-06 12:45:00,ORD-00087,Friday,12
Eggplant Parmigiana,1,18.0,2026-02-06 12:09:00,ORD-00088,Friday,12
Arancini,1,11.0,2026-02-06 12:26:00,ORD-00088,Friday,12
Espresso,1,4.0,2026-02-06 12:50:00,ORD-00088,Friday,12
Caesar Salad,1,13.0,2026-02-06 12:43:00,ORD-00089,Friday,12
Chicken Parmigiana,1,24.0,2026-02-06 12:58:00,ORD-00089,Friday,12
Espresso,1,4.0,2026-02-06 12:14:00,ORD-00089,Friday,12
Bruschetta Trio,1,12.5,2026-02-06 12:10:00,ORD-00090,Friday,12
Margherita Pizza,1,16.0,2026-02-06 12:22:00,ORD-00090,Friday,12
Arancini,1,11.0,2026-02-06 12:24:00,ORD-00091,Friday,12
Limoncello,2,18.0,2026-02-06 12:06:00,ORD-00091,Friday,12
Diavola Pizza,1,18.0,2026-02-06 12:44:00,ORD-00092,Friday,12
Aperol Spritz,1,14.0,2026-02-06 12:53:00,ORD-00092,Friday,12
Cannoli,1,9.0,2026-02-06 12:17:00,ORD-00092,Friday,12
Chicken Parmigiana,1,24.0,2026-02-06 12:03:00,ORD-00093,Friday,12
House Red Wine,2,24.0,2026-02-06 12:47:00,ORD-00093,Friday,12
Tiramisu,1,12.0,2026-02-06 12:57:00,ORD-00093,Friday,12
Bruschetta Trio,1,12.5,2026-02-06 12:49:00,ORD-00094,Friday,12
Tiramisu,1,12.0,2026-02-06 12:53:00,ORD-00094,Friday,12
Quattro Formaggi,1,19.0,2026-02-06 12:06:00,ORD-00094,Friday,12
House Red Wine,2,24.0,2026-02-06 12:41:00,ORD-00094,Friday,12
Cacio e Pepe,1,17.0,2026-02-06 12:58:00,ORD-00095,Friday,12
Bruschetta Trio,1,12.5,2026-02-06 12:47:00,ORD-00095,Friday,12
Limoncello,1,9.0,2026-02-06 12:12:00,ORD-00095,Friday,12
Tiramisu,1,12.0,2026-02-06 12:34:00,ORD-00095,Friday,12
Caesar Salad,1,13.0,2026-02-06 13:21:00,ORD-00096,Friday,13
Lobster Ravioli,1,28.0,2026-02-06 13:29:00,ORD-00096,Friday,13
House Red Wine,2,24.0,2026-02-06 13:09:00,ORD-00096,Friday,13
Cannoli,1,9.0,2026-02-06 13:05:00,ORD-00097,Friday,13
Espresso,1,4.0,2026-02-06 13:00:00,ORD-00097,Friday,13
Caesar Salad,1,13.0,2026-02-06 13:16:00,ORD-00098,Friday,13
Chicken Parmigiana,1,24.0,2026-02-06 13:52:00,ORD-00098,Friday,13
Espresso,1,4.0,2026-02-06 13:23:00,ORD-00098,Friday,13
Margherita Pizza,1,16.0,2026-02-06 13:58:00,ORD-00099,Friday,13
Aperol Spritz,1,14.0,2026-02-06 13:41:00,ORD-00099,Friday,13
Cannoli,1,9.0,2026-02-06 13:52:00,ORD-00099,Friday,13
Prosciutto e Rucola,1,20.0,2026-02-06 13:24:00,ORD-00100,Friday,13
Chicken Parmigiana,1,24.0,2026-02-06 13:42:00,ORD-00100,Friday,13
Margherita Pizza,2,32.0,2026-02-06 13:44:00,ORD-00100,Friday,13
Aperol Spritz,2,28.0,2026-02-06 13:26:00,ORD-00100,Friday,13
Chocolate Lava Cake,1,13.0,2026-02-06 13:46:00,ORD-00100,Friday,13
Calamari Fritti,1,14.0,2026-02-06 13:17:00,ORD-00101,Friday,13
Linguine alle Vongole,1,22.0,2026-02-06 13:23:00,ORD-00101,Friday,13
House Red Wine,1,12.0,2026-02-06 13:28:00,ORD-00101,Friday,13
Panna Cotta,2,20.0,2026-02-06 13:54:00,ORD-00101,Friday,13
Spaghetti Carbonara,1,19.0,2026-02-06 13:05:00,ORD-00102,Friday,13
Eggplant Parmigiana,1,18.0,2026-02-06 13:41:00,ORD-00102,Friday,13
Prosciutto e Rucola,1,20.0,2026-02-06 13:01:00,ORD-00102,Friday,13
Diavola Pizza,1,18.0,2026-02-06 13:21:00,ORD-00102,Friday,13
Aperol Spritz,1,14.0,2026-02-06 13:08:00,ORD-00102,Friday,13
Cappuccino,1,5.5,2026-02-06 13:14:00,ORD-00103,Friday,13
Lobster Ravioli,1,28.0,2026-02-06 13:09:00,ORD-00103,Friday,13
Caesar Salad,1,13.0,2026-02-06 13:07:00,ORD-00104,Friday,13
Limoncello,1,9.0,2026-02-06 13:01:00,ORD-00104,Friday,13
Carpaccio di Manzo,1,17.0,2026-02-06 13:22:00,ORD-00104,Friday,13
Penne Arrabbiata,1,16.0,2026-02-06 13:30:00,ORD-00105,Friday,13
Fettuccine Alfredo,1,18.0,2026-02-06 13:23:00,ORD-00105,Friday,13
Espresso,1,4.0,2026-02-06 13:06:00,ORD-00105,Friday,13
Cacio e Pepe,1,17.0,2026-02-06 13:41:00,ORD-00106,Friday,13
Burrata Caprese,2,32.0,2026-02-06 13:03:00,ORD-00106,Friday,13
Cacio e Pepe,2,34.0,2026-02-06 13:20:00,ORD-00107,Friday,13
Aperol Spritz,1,14.0,2026-02-06 13:04:00,ORD-00107,Friday,13
Chicken Parmigiana,1,24.0,2026-02-06 13:39:00,ORD-00107,Friday,13
Penne Arrabbiata,1,16.0,2026-02-06 14:07:00,ORD-00108,Friday,14
Calamari Fritti,2,28.0,2026-02-06 14:41:00,ORD-00108,Friday,14
Diavola Pizza,2,36.0,2026-02-06 14:35:00,ORD-00108,Friday,14
Bruschetta Trio,1,12.5,2026-02-06 14:26:00,ORD-00109,Friday,14
House Red Wine,1,12.0,2026-02-06 14:20:00,ORD-00109,Friday,14
Insalata Mista,1,11.0,2026-02-06 14:51:00,ORD-00110,Friday,14
Fettuccine Alfredo,1,18.0,2026-02-06 14:03:00,ORD-00110,Friday,14
Diavola Pizza,1,18.0,2026-02-06 14:35:00,ORD-00110,Friday,14
Espresso,1,4.0,2026-02-06 14:42:00,ORD-00110,Friday,14
Chocolate Lava Cake,1,13.0,2026-02-06 14:22:00,ORD-00110,Friday,14
Margherita Pizza,1,16.0,2026-02-06 14:32:00,ORD-00111,Friday,14
Caesar Salad,1,13.0,2026-02-06 14:42:00,ORD-00111,Friday,14
Aperol Spritz,1,14.0,2026-02-06 14:54:00,ORD-00111,Friday,14
Insalata Mista,1,11.0,2026-02-06 14:54:00,ORD-00111,Friday,14
Caesar Salad,1,13.0,2026-02-06 14:39:00,ORD-00112,Friday,14
House Red Wine,1,12.0,2026-02-06 14:41:00,ORD-00112,Friday,14
