menu_item_name,quantity,total_price,order_id,sale_date,hour_of_day
Soft Drink,1,2.49,ORD-5036,2025-12-01,15
Classic Burger,1,9.99,ORD-5037,2025-12-01,19
Soft Drink,1,2.49,ORD-5038,2025-12-01,12
Bacon Cheeseburger,1,12.49,ORD-5039,2025-12-01,12
Onion Rings,1,4.49,ORD-5039,2025-12-01,12
Craft Beer,1,6.99,ORD-5039,2025-12-01,12
Classic Burger,1,9.99,ORD-5040,2025-12-01,19
Classic Fries,1,3.99,ORD-5040,2025-12-01,19
Soft Drink,1,2.49,ORD-5040,2025-12-01,19
BBQ Combo,1,15.99,ORD-5041,2025-12-01,18
Classic Burger,1,9.99,ORD-5042,2025-12-01,13
Classic Fries,1,3.99,ORD-5042,2025-12-01,13
Soft Drink,1,2.49,ORD-5042,2025-12-01,13
Classic Burger,1,9.99,ORD-5043,2025-12-01,17
Classic Fries,1,3.99,ORD-5043,2025-12-01,17
Soft Drink,1,2.49,ORD-5043,2025-12-01,17
Classic Burger,1,9.99,ORD-5044,2025-12-01,12
Classic Fries,1,3.99,ORD-5044,2025-12-01,12
Soft Drink,1,2.49,ORD-5044,2025-12-01,12
Milkshake,1,5.99,ORD-5045,2025-12-01,12
Milkshake,1,5.99,ORD-5046,2025-12-01,12
Double Stack,1,14.99,ORD-5046,2025-12-01,12
Chicken Combo,1,13.49,ORD-5047,2025-12-01,13
BBQ Combo,1,15.99,ORD-5047,2025-12-01,13
Classic Fries,1,3.99,ORD-5047,2025-12-01,13
Veggie Burger,1,10.49,ORD-5048,2025-12-01,20
Mushroom Swiss Burger,1,11.99,ORD-5048,2025-12-01,20
Lemonade,1,3.49,ORD-5049,2025-12-01,12
Iced Tea,1,2.99,ORD-5050,2025-12-01,19
Bacon Cheeseburger,1,12.49,ORD-5050,2025-12-01,19
Craft Beer,1,6.99,ORD-5051,2025-12-01,15
Mac and Cheese,1,5.99,ORD-5051,2025-12-01,15
Classic Burger,1,9.99,ORD-5052,2025-12-01,11
Classic Burger,1,9.99,ORD-5053,2025-12-01,14
Mushroom Swiss Burger,1,11.99,ORD-5053,2025-12-01,14
Double Stack,1,14.99,ORD-5054,2025-12-01,17
Classic Fries,1,3.99,ORD-5054,2025-12-01,17
Soft Drink,1,2.49,ORD-5054,2025-12-01,17
Craft Beer,1,6.99,ORD-5055,2025-12-01,17
Chicken Combo,1,13.49,ORD-5055,2025-12-01,17
Veggie Burger,1,10.49,ORD-5056,2025-12-01,20
Coleslaw,1,2.99,ORD-5056,2025-12-01,20
Lemonade,1,3.49,ORD-5056,2025-12-01,20
Bacon Cheeseburger,1,12.49,ORD-5057,2025-12-01,11
Classic Burger,1,9.99,ORD-5057,2025-12-01,11
Classic Burger,1,9.99,ORD-5058,2025-12-01,12
Sweet Potato Fries,1,4.99,ORD-5058,2025-12-01,12
Classic Burger,1,9.99,ORD-5059,2025-12-01,11
Soft Drink,1,2.49,ORD-5059,2025-12-01,11
Ice Cream Sundae,1,4.99,ORD-5059,2025-12-01,11
Bacon Cheeseburger,1,12.49,ORD-5060,2025-12-01,16
Bacon Cheeseburger,1,12.49,ORD-5060,2025-12-01,16
Sweet Potato Fries,1,4.99,ORD-5060,2025-12-01,16
Iced Tea,1,2.99,ORD-5061,2025-12-01,12
Onion Rings,1,4.49,ORD-5061,2025-12-01,12
Classic Burger,1,9.99,ORD-5061,2025-12-01,12
Classic Combo,1,13.99,ORD-5062,2025-12-01,21
Brownie,1,4.49,ORD-5062,2025-12-01,21
Loaded Nachos,1,7.99,ORD-5063,2025-12-02,17
Classic Fries,1,3.99,ORD-5063,2025-12-02,17
Classic Burger,1,9.99,ORD-5064,2025-12-02,18
Classic Fries,1,3.99,ORD-5064,2025-12-02,18
Soft Drink,1,2.49,ORD-5064,2025-12-02,18
Classic Combo,1,13.99,ORD-5065,2025-12-02,12
Brownie,1,4.49,ORD-5065,2025-12-02,12
Bacon Cheeseburger,1,12.49,ORD-5066,2025-12-02,16
Mac and Cheese,1,5.99,ORD-5066,2025-12-02,16
Lemonade,1,3.49,ORD-5066,2025-12-02,16
BBQ Burger,1,12.99,ORD-5067,2025-12-02,13
Sweet Potato Fries,1,4.99,ORD-5067,2025-12-02,13
Milkshake,1,5.99,ORD-5067,2025-12-02,13
Bacon Cheeseburger,1,12.49,ORD-5068,2025-12-02,17
Onion Rings,1,4.49,ORD-5068,2025-12-02,17
Craft Beer,1,6.99,ORD-5068,2025-12-02,17
Classic Burger,1,9.99,ORD-5069,2025-12-02,11
Classic Fries,1,3.99,ORD-5069,2025-12-02,11
Soft Drink,1,2.49,ORD-5069,2025-12-02,11
Soft Drink,1,2.49,ORD-5070,2025-12-02,13
Iced Tea,1,2.99,ORD-5070,2025-12-02,13
Classic Burger,1,9.99,ORD-5071,2025-12-02,20
Classic Fries,1,3.99,ORD-5071,2025-12-02,20
Soft Drink,1,2.49,ORD-5071,2025-12-02,20
Classic Burger,1,9.99,ORD-5072,2025-12-02,18
Classic Fries,1,3.99,ORD-5072,2025-12-02,18
Soft Drink,1,2.49,ORD-5072,2025-12-02,18
Classic Burger,1,9.99,ORD-5073,2025-12-02,11
Classic Fries,1,3.99,ORD-5073,2025-12-02,11
Sweet Potato Fries,1,4.99,ORD-5074,2025-12-02,11
Classic Burger,1,9.99,ORD-5074,2025-12-02,11
BBQ Combo,1,15.99,ORD-5074,2025-12-02,11
Classic Burger,1,9.99,ORD-5075,2025-12-02,18
Classic Fries,1,3.99,ORD-5075,2025-12-02,18
Soft Drink,1,2.49,ORD-5075,2025-12-02,18
Classic Fries,1,3.99,ORD-5076,2025-12-02,11
Soft Drink,1,2.49,ORD-5076,2025-12-02,11
Milkshake,1,5.99,ORD-5077,2025-12-02,17
Mac and Cheese,1,5.99,ORD-5078,2025-12-02,13
Classic Burger,1,9.99,ORD-5078,2025-12-02,13
Chicken Burger,1,10.99,ORD-5079,2025-12-02,13
Classic Fries,1,3.99,ORD-5079,2025-12-02,13
Iced Tea,1,2.99,ORD-5079,2025-12-02,13
Soft Drink,1,2.49,ORD-5080,2025-12-02,15
Classic Burger,1,9.99,ORD-5081,2025-12-02,18
Classic Fries,1,3.99,ORD-5081,2025-12-02,18
Soft Drink,1,2.49,ORD-5081,2025-12-02,18
BBQ Burger,1,12.99,ORD-5082,2025-12-02,15
Sweet Potato Fries,1,4.99,ORD-5082,2025-12-02,15
Milkshake,1,5.99,ORD-5082,2025-12-02,15
Chicken Burger,1,10.99,ORD-5083,2025-12-02,12
BBQ Burger,1,12.99,ORD-5084,2025-12-02,20
Sweet Potato Fries,1,4.99,ORD-5084,2025-12-02,20
Milkshake,1,5.99,ORD-5084,2025-12-02,20
Classic Burger,1,9.99,ORD-5085,2025-12-02,18
Classic Fries,1,3.99,ORD-5085,2025-12-02,18
Soft Drink,1,2.49,ORD-5085,2025-12-02,18
Bacon Cheeseburger,1,12.49,ORD-5086,2025-12-02,20
Onion Rings,1,4.49,ORD-5086,2025-12-02,20
Craft Beer,1,6.99,ORD-5086,2025-12-02,20
Mushroom Swiss Burger,1,11.99,ORD-5087,2025-12-02,12
Classic Combo,1,13.99,ORD-5088,2025-12-02,13
Bacon Cheeseburger,1,12.49,ORD-5088,2025-12-02,13
Craft Beer,1,6.99,ORD-5088,2025-12-02,13
Sweet Potato Fries,1,4.99,ORD-5089,2025-12-02,19
Chicken Combo,1,13.49,ORD-5089,2025-12-02,19
Classic Fries,1,3.99,ORD-5089,2025-12-02,19
Classic Fries,1,3.99,ORD-5090,2025-12-02,19
Onion Rings,1,4.49,ORD-5090,2025-12-02,19
Cheesecake Slice,1,5.99,ORD-5090,2025-12-02,19
Loaded Nachos,1,7.99,ORD-5091,2025-12-02,20
Sweet Potato Fries,1,4.99,ORD-5091,2025-12-02,20
Soft Drink,1,2.49,ORD-5091,2025-12-02,20
Bacon Cheeseburger,1,12.49,ORD-5092,2025-12-02,20
Onion Rings,1,4.49,ORD-5092,2025-12-02,20
Craft Beer,1,6.99,ORD-5092,2025-12-02,20
Chicken Combo,1,13.49,ORD-5093,2025-12-02,18
Veggie Burger,1,10.49,ORD-5093,2025-12-02,18
Mac and Cheese,1,5.99,ORD-5094,2025-12-02,12
Sweet Potato Fries,1,4.99,ORD-5095,2025-12-02,17
BBQ Burger,1,12.99,ORD-5096,2025-12-02,11
Sweet Potato Fries,1,4.99,ORD-5096,2025-12-02,11
Milkshake,1,5.99,ORD-5096,2025-12-02,11
Classic Combo,1,13.99,ORD-5097,2025-12-02,19
Brownie,1,4.49,ORD-5097,2025-12-02,19
Bacon Cheeseburger,1,12.49,ORD-5098,2025-12-02,13
Classic Combo,1,13.99,ORD-5098,2025-12-02,13
Classic Burger,1,9.99,ORD-5099,2025-12-02,21
Classic Fries,1,3.99,ORD-5099,2025-12-02,21
Classic Fries,1,3.99,ORD-5100,2025-12-02,13
Classic Burger,1,9.99,ORD-5100,2025-12-02,13
Mac and Cheese,1,5.99,ORD-5101,2025-12-02,16
Bacon Cheeseburger,1,12.49,ORD-5102,2025-12-02,21
Classic Burger,1,9.99,ORD-5102,2025-12-02,21
Chicken Combo,1,13.49,ORD-5102,2025-12-02,21
BBQ Combo,1,15.99,ORD-5103,2025-12-02,18
Bacon Cheeseburger,1,12.49,ORD-5103,2025-12-02,18
Bacon Cheeseburger,1,12.49,ORD-5104,2025-12-02,20
Classic Fries,1,3.99,ORD-5104,2025-12-02,20
Bacon Cheeseburger,1,12.49,ORD-5105,2025-12-02,19
BBQ Burger,1,12.99,ORD-5105,2025-12-02,19
Classic Burger,1,9.99,ORD-5105,2025-12-02,19
Mac and Cheese,1,5.99,ORD-5106,2025-12-02,18
Craft Beer,1,6.99,ORD-5106,2025-12-02,18
Classic Combo,1,13.99,ORD-5107,2025-12-02,12
Brownie,1,4.49,ORD-5107,2025-12-02,12
Classic Burger,1,9.99,ORD-5108,2025-12-02,12
Classic Combo,1,13.99,ORD-5109,2025-12-02,17
Soft Drink,1,2.49,ORD-5110,2025-12-02,19
Classic Combo,1,13.99,ORD-5111,2025-12-02,11
Brownie,1,4.49,ORD-5112,2025-12-02,13
Classic Fries,1,3.99,ORD-5112,2025-12-02,13
Soft Drink,1,2.49,ORD-5112,2025-12-02,13
BBQ Combo,1,15.99,ORD-5113,2025-12-02,12
Veggie Burger,1,10.49,ORD-5113,2025-12-02,12
Classic Combo,1,13.99,ORD-5114,2025-12-02,19
Brownie,1,4.49,ORD-5114,2025-12-02,19
Brownie,1,4.49,ORD-5114,2025-12-02,19
Classic Burger,1,9.99,ORD-5115,2025-12-02,11
Veggie Burger,1,10.49,ORD-5116,2025-12-02,16
Classic Burger,1,9.99,ORD-5117,2025-12-02,12
Soft Drink,1,2.49,ORD-5118,2025-12-02,13
Kids Meal,1,6.99,ORD-5118,2025-12-02,13
Iced Tea,1,2.99,ORD-5119,2025-12-03,12
Classic Combo,1,13.99,ORD-5120,2025-12-03,19
Classic Burger,1,9.99,ORD-5121,2025-12-03,16
Classic Fries,1,3.99,ORD-5121,2025-12-03,16
Soft Drink,1,2.49,ORD-5121,2025-12-03,16
Chicken Burger,1,10.99,ORD-5122,2025-12-03,13
Classic Burger,1,9.99,ORD-5122,2025-12-03,13
Classic Fries,1,3.99,ORD-5123,2025-12-03,13
Bacon Cheeseburger,1,12.49,ORD-5123,2025-12-03,13
Bacon Cheeseburger,1,12.49,ORD-5123,2025-12-03,13
Veggie Burger,1,10.49,ORD-5124,2025-12-03,18
Classic Burger,1,9.99,ORD-5125,2025-12-03,16
Classic Fries,1,3.99,ORD-5125,2025-12-03,16
Soft Drink,1,2.49,ORD-5125,2025-12-03,16
Classic Combo,1,13.99,ORD-5126,2025-12-03,11
Brownie,1,4.49,ORD-5126,2025-12-03,11
Milkshake,1,5.99,ORD-5127,2025-12-03,16
Milkshake,1,5.99,ORD-5127,2025-12-03,16
Milkshake,1,5.99,ORD-5128,2025-12-03,12
Classic Combo,1,13.99,ORD-5129,2025-12-03,17
Brownie,1,4.49,ORD-5129,2025-12-03,17
Bacon Cheeseburger,1,12.49,ORD-5129,2025-12-03,17
Milkshake,1,5.99,ORD-5130,2025-12-03,13
Milkshake,1,5.99,ORD-5131,2025-12-03,12
BBQ Burger,1,12.99,ORD-5132,2025-12-03,13
Sweet Potato Fries,1,4.99,ORD-5132,2025-12-03,13
Milkshake,1,5.99,ORD-5132,2025-12-03,13
Bacon Cheeseburger,1,12.49,ORD-5133,2025-12-03,20
Onion Rings,1,4.49,ORD-5133,2025-12-03,20
Craft Beer,1,6.99,ORD-5133,2025-12-03,20
Chicken Burger,1,10.99,ORD-5134,2025-12-03,18
Classic Fries,1,3.99,ORD-5134,2025-12-03,18
Iced Tea,1,2.99,ORD-5134,2025-12-03,18
Double Stack,1,14.99,ORD-5135,2025-12-03,18
Classic Fries,1,3.99,ORD-5135,2025-12-03,18
Soft Drink,1,2.49,ORD-5135,2025-12-03,18
Classic Burger,1,9.99,ORD-5136,2025-12-03,18
Classic Fries,1,3.99,ORD-5136,2025-12-03,18
Soft Drink,1,2.49,ORD-5136,2025-12-03,18
Mac and Cheese,1,5.99,ORD-5137,2025-12-03,13
Classic Combo,1,13.99,ORD-5137,2025-12-03,13
Classic Fries,1,3.99,ORD-5137,2025-12-03,13
Bacon Cheeseburger,1,12.49,ORD-5138,2025-12-03,19
Onion Rings,1,4.49,ORD-5138,2025-12-03,19
Craft Beer,1,6.99,ORD-5138,2025-12-03,19
BBQ Combo,1,15.99,ORD-5139,2025-12-03,14
Lemonade,1,3.49,ORD-5139,2025-12-03,14
Classic Fries,1,3.99,ORD-5139,2025-12-03,14
Classic Fries,1,3.99,ORD-5140,2025-12-03,14
BBQ Burger,1,12.99,ORD-5140,2025-12-03,14
Classic Burger,1,9.99,ORD-5141,2025-12-03,20
Classic Fries,1,3.99,ORD-5141,2025-12-03,20
Soft Drink,1,2.49,ORD-5141,2025-12-03,20
Ice Cream Sundae,1,4.99,ORD-5142,2025-12-03,11
Bacon Cheeseburger,1,12.49,ORD-5142,2025-12-03,11
Classic Fries,1,3.99,ORD-5142,2025-12-03,11
Classic Burger,1,9.99,ORD-5143,2025-12-03,13
Classic Fries,1,3.99,ORD-5143,2025-12-03,13
Soft Drink,1,2.49,ORD-5143,2025-12-03,13
BBQ Burger,1,12.99,ORD-5144,2025-12-03,16
Sweet Potato Fries,1,4.99,ORD-5144,2025-12-03,16
Milkshake,1,5.99,ORD-5144,2025-12-03,16
Mac and Cheese,1,5.99,ORD-5145,2025-12-03,17
Classic Burger,1,9.99,ORD-5146,2025-12-03,16
Classic Fries,1,3.99,ORD-5146,2025-12-03,16
Soft Drink,1,2.49,ORD-5146,2025-12-03,16
Classic Burger,1,9.99,ORD-5147,2025-12-03,18
Classic Fries,1,3.99,ORD-5147,2025-12-03,18
Soft Drink,1,2.49,ORD-5147,2025-12-03,18
Classic Burger,1,9.99,ORD-5148,2025-12-03,11
Chicken Burger,1,10.99,ORD-5149,2025-12-03,19
Classic Fries,1,3.99,ORD-5149,2025-12-03,19
Iced Tea,1,2.99,ORD-5149,2025-12-03,19
Classic Fries,1,3.99,ORD-5150,2025-12-03,16
Milkshake,1,5.99,ORD-5150,2025-12-03,16
Bacon Cheeseburger,1,12.49,ORD-5151,2025-12-03,11
Onion Rings,1,4.49,ORD-5151,2025-12-03,11
Craft Beer,1,6.99,ORD-5151,2025-12-03,11
Mac and Cheese,1,5.99,ORD-5152,2025-12-03,13
BBQ Burger,1,12.99,ORD-5152,2025-12-03,13
Classic Burger,1,9.99,ORD-5153,2025-12-03,18
Classic Fries,1,3.99,ORD-5153,2025-12-03,18
Soft Drink,1,2.49,ORD-5153,2025-12-03,18
Mac and Cheese,1,5.99,ORD-5154,2025-12-03,12
Classic Burger,1,9.99,ORD-5155,2025-12-03,19
Classic Fries,1,3.99,ORD-5155,2025-12-03,19
Soft Drink,1,2.49,ORD-5155,2025-12-03,19
Onion Rings,1,4.49,ORD-5156,2025-12-03,11
Soft Drink,1,2.49,ORD-5156,2025-12-03,11
Classic Fries,1,3.99,ORD-5156,2025-12-03,11
Onion Rings,1,4.49,ORD-5157,2025-12-03,12
Mac and Cheese,1,5.99,ORD-5158,2025-12-03,14
Classic Burger,1,9.99,ORD-5159,2025-12-03,12
Classic Fries,1,3.99,ORD-5159,2025-12-03,12
Soft Drink,1,2.49,ORD-5159,2025-12-03,12
Milkshake,1,5.99,ORD-5160,2025-12-03,17
Double Stack,1,14.99,ORD-5161,2025-12-03,17
Classic Fries,1,3.99,ORD-5161,2025-12-03,17
Soft Drink,1,2.49,ORD-5161,2025-12-03,17
Onion Rings,1,4.49,ORD-5162,2025-12-03,20
Classic Burger,1,9.99,ORD-5163,2025-12-03,18
Classic Fries,1,3.99,ORD-5163,2025-12-03,18
Soft Drink,1,2.49,ORD-5163,2025-12-03,18
Bacon Cheeseburger,1,12.49,ORD-5164,2025-12-03,13
Onion Rings,1,4.49,ORD-5164,2025-12-03,13
Craft Beer,1,6.99,ORD-5164,2025-12-03,13
Kids Meal,1,6.99,ORD-5165,2025-12-03,17
Classic Fries,1,3.99,ORD-5166,2025-12-03,18
Classic Combo,1,13.99,ORD-5166,2025-12-03,18
Loaded Nachos,1,7.99,ORD-5166,2025-12-03,18
Classic Combo,1,13.99,ORD-5167,2025-12-03,18
Brownie,1,4.49,ORD-5167,2025-12-03,18
Classic Combo,1,13.99,ORD-5168,2025-12-03,20
Brownie,1,4.49,ORD-5168,2025-12-03,20
Lemonade,1,3.49,ORD-5169,2025-12-03,19
Kids Meal,1,6.99,ORD-5169,2025-12-03,19
BBQ Burger,1,12.99,ORD-5170,2025-12-03,18
Classic Fries,1,3.99,ORD-5170,2025-12-03,18
BBQ Combo,1,15.99,ORD-5171,2025-12-03,17
Soft Drink,1,2.49,ORD-5171,2025-12-03,17
Veggie Burger,1,10.49,ORD-5172,2025-12-03,14
Classic Fries,1,3.99,ORD-5172,2025-12-03,14
Ice Cream Sundae,1,4.99,ORD-5172,2025-12-03,14
Sweet Potato Fries,1,4.99,ORD-5173,2025-12-04,16
Classic Burger,1,9.99,ORD-5174,2025-12-04,18
Classic Combo,1,13.99,ORD-5174,2025-12-04,18
Bacon Cheeseburger,1,12.49,ORD-5174,2025-12-04,18
Classic Burger,1,9.99,ORD-5175,2025-12-04,21
Lemonade,1,3.49,ORD-5175,2025-12-04,21
Iced Tea,1,2.99,ORD-5176,2025-12-04,18
Classic Burger,1,9.99,ORD-5177,2025-12-04,18
Classic Fries,1,3.99,ORD-5177,2025-12-04,18
Soft Drink,1,2.49,ORD-5177,2025-12-04,18
Classic Combo,1,13.99,ORD-5178,2025-12-04,17
Classic Burger,1,9.99,ORD-5179,2025-12-04,12
Classic Burger,1,9.99,ORD-5180,2025-12-04,11
Classic Fries,1,3.99,ORD-5180,2025-12-04,11
Soft Drink,1,2.49,ORD-5180,2025-12-04,11
Classic Burger,1,9.99,ORD-5181,2025-12-04,18
Classic Fries,1,3.99,ORD-5181,2025-12-04,18
Soft Drink,1,2.49,ORD-5181,2025-12-04,18
Classic Combo,1,13.99,ORD-5182,2025-12-04,21
Brownie,1,4.49,ORD-5182,2025-12-04,21
Classic Burger,1,9.99,ORD-5183,2025-12-04,12
Classic Fries,1,3.99,ORD-5183,2025-12-04,12
Soft Drink,1,2.49,ORD-5183,2025-12-04,12
Mushroom Swiss Burger,1,11.99,ORD-5184,2025-12-04,14
Classic Burger,1,9.99,ORD-5185,2025-12-04,18
Classic Fries,1,3.99,ORD-5185,2025-12-04,18
Soft Drink,1,2.49,ORD-5185,2025-12-04,18
Classic Burger,1,9.99,ORD-5186,2025-12-04,12
Classic Fries,1,3.99,ORD-5186,2025-12-04,12
Soft Drink,1,2.49,ORD-5186,2025-12-04,12
Classic Burger,1,9.99,ORD-5187,2025-12-04,12
Classic Burger,1,9.99,ORD-5187,2025-12-04,12
Onion Rings,1,4.49,ORD-5187,2025-12-04,12
Cheesecake Slice,1,5.99,ORD-5188,2025-12-04,13
Classic Burger,1,9.99,ORD-5188,2025-12-04,13
Classic Burger,1,9.99,ORD-5189,2025-12-04,13
Classic Fries,1,3.99,ORD-5189,2025-12-04,13
Soft Drink,1,2.49,ORD-5189,2025-12-04,13
Chicken Burger,1,10.99,ORD-5190,2025-12-04,13
Classic Fries,1,3.99,ORD-5190,2025-12-04,13
Iced Tea,1,2.99,ORD-5190,2025-12-04,13
Lemonade,1,3.49,ORD-5191,2025-12-04,13
Veggie Burger,1,10.49,ORD-5192,2025-12-04,18
Coleslaw,1,2.99,ORD-5192,2025-12-04,18
Lemonade,1,3.49,ORD-5192,2025-12-04,18
Soft Drink,1,2.49,ORD-5193,2025-12-04,20
Classic Combo,1,13.99,ORD-5193,2025-12-04,20
Soft Drink,1,2.49,ORD-5193,2025-12-04,20
Classic Burger,1,9.99,ORD-5194,2025-12-04,16
Classic Fries,1,3.99,ORD-5194,2025-12-04,16
Soft Drink,1,2.49,ORD-5194,2025-12-04,16
Classic Combo,1,13.99,ORD-5195,2025-12-04,13
Bacon Cheeseburger,1,12.49,ORD-5196,2025-12-04,11
Milkshake,1,5.99,ORD-5196,2025-12-04,11
Double Stack,1,14.99,ORD-5197,2025-12-04,18
Classic Fries,1,3.99,ORD-5197,2025-12-04,18
Soft Drink,1,2.49,ORD-5197,2025-12-04,18
BBQ Burger,1,12.99,ORD-5198,2025-12-04,18
Classic Fries,1,3.99,ORD-5198,2025-12-04,18
Bacon Cheeseburger,1,12.49,ORD-5199,2025-12-04,13
Chicken Burger,1,10.99,ORD-5200,2025-12-04,13
Double Stack,1,14.99,ORD-5201,2025-12-04,20
Classic Fries,1,3.99,ORD-5201,2025-12-04,20
Soft Drink,1,2.49,ORD-5201,2025-12-04,20
Bacon Cheeseburger,1,12.49,ORD-5202,2025-12-04,12
Onion Rings,1,4.49,ORD-5202,2025-12-04,12
Craft Beer,1,6.99,ORD-5202,2025-12-04,12
Craft Beer,1,6.99,ORD-5203,2025-12-04,13
Mac and Cheese,1,5.99,ORD-5203,2025-12-04,13
Milkshake,1,5.99,ORD-5204,2025-12-04,19
BBQ Combo,1,15.99,ORD-5205,2025-12-04,19
BBQ Burger,1,12.99,ORD-5206,2025-12-04,12
BBQ Burger,1,12.99,ORD-5206,2025-12-04,12
Classic Burger,1,9.99,ORD-5206,2025-12-04,12
Chicken Combo,1,13.49,ORD-5207,2025-12-04,12
Soft Drink,1,2.49,ORD-5207,2025-12-04,12
Classic Burger,1,9.99,ORD-5208,2025-12-04,13
Classic Fries,1,3.99,ORD-5208,2025-12-04,13
Soft Drink,1,2.49,ORD-5208,2025-12-04,13
Classic Combo,1,13.99,ORD-5209,2025-12-04,15
